err_x,err_y,err_z,rot_x_1,rot_x_2,rot_x_3,rot_y_1,rot_y_2,rot_y_3,rot_z_1,rot_z_2,rot_z_3,root_linvels_x,root_linvels_y,root_linvels_z,root_angvels_x,root_angvels_y,root_angvels_z,relative_pos0_x,relative_pos0_y,relative_pos0_z,relative_pos1_x,relative_pos1_y,relative_pos1_z,relative_pos2_x,relative_pos2_y,relative_pos2_z,relative_pos3_x,relative_pos3_y,relative_pos3_z
0.5497098,0.43580619,-0.36750114,-0.32437775,-0.94548583,-0.028902914,0.9421259,-0.32565987,0.07964985,-0.08472033,-0.0013935603,0.99640346,-0.5058717,-0.16692896,1.333627,-1.8178922,-2.2195225,17.825853,0.5497098,0.43580619,-0.36750114,0.674658,0.54476386,-0.36750114,0.80563253,0.64987737,-0.36750114,0.9413972,0.74711376,-0.36750114
0.5828872,0.46049923,-0.39054096,-0.021242147,-0.9996821,-0.013569396,0.992631,-0.022707976,0.119028315,-0.11929862,-0.0109410025,0.99279785,-0.5267929,-0.1681048,1.3821747,-1.326236,-2.1836817,18.500774,0.5828872,0.46049923,-0.39054096,0.7091592,0.56902844,-0.39054096,0.8411788,0.6728774,-0.39054096,0.9777828,0.76808697,-0.39054096
0.6168598,0.48523054,-0.4143741,0.2942542,-0.95570916,0.005867608,0.9451029,0.29189056,0.14690295,-0.14210919,-0.037681337,0.9891334,-0.55499285,-0.17220883,1.4297659,-0.9255695,-1.8397614,19.185751,0.6168598,0.48523054,-0.4143741,0.74439245,0.59315795,-0.4143741,0.877411,0.695584,-0.4143741,1.0148201,0.78862363,-0.4143741
0.65163606,0.51009375,-0.4389863,0.5885486,-0.80801547,0.02685469,0.7954036,0.584669,0.15967146,-0.14471813,-0.07261413,0.98680466,-0.5872015,-0.18296172,1.4766053,-0.7812221,-1.2656336,19.861507,0.65163606,0.51009375,-0.4389863,0.78037035,0.6172494,-0.4389863,0.91434455,0.7180971,-0.4389863,1.0525259,0.8088267,-0.4389863
0.68721795,0.5351835,-0.46437156,0.82481897,-0.56348693,0.046432283,0.55133677,0.81979144,0.15482122,-0.12530452,-0.102099665,0.9868507,-0.61849767,-0.20212169,1.5231286,-1.0301088,-0.6463168,20.504421,0.68721795,0.5351835,-0.46437156,0.81709844,0.6414002,-0.46437156,0.9519872,0.740517,-0.46437156,1.09091,0.82879984,-0.46437156
0.7234861,0.5605796,-0.490533,0.96797454,-0.24343364,0.06135906,0.23394649,0.9633436,0.13129267,-0.09107092,-0.11273326,0.98944277,-0.6435403,-0.22826576,1.5698526,-1.6711464,-0.23657407,21.09967,0.7234861,0.5605796,-0.490533,0.85446066,0.6656931,-0.490533,0.9902253,0.7629295,-0.490533,1.1298603,0.84863216,-0.490533
0.7602609,0.5862861,-0.51748335,0.9908107,0.116666846,0.06842989,-0.12261034,0.9883411,0.09026752,-0.05710085,-0.09782825,0.99356365,-0.6585531,-0.25642496,1.6172788,-2.5098033,-0.26597187,21.651077,0.7602609,0.5862861,-0.51748335,0.89228046,0.69013506,-0.51748335,1.0288844,0.78534466,-0.51748335,1.169204,0.86833733,-0.51748335
0.79736334,0.61223906,-0.54523945,0.8801072,0.47024968,0.065394476,-0.47300622,0.88034934,0.035357438,-0.040943164,-0.062050328,0.99723285,-0.66366464,-0.27951524,1.6657445,-3.2239583,-0.81895304,22.183573,0.79736334,0.61223906,-0.54523945,0.9303819,0.7146651,-0.54523945,1.067791,0.80770475,-0.54523945,1.2087685,0.887861,-0.54523945
0.834684,0.6381616,-0.5738182,0.6412918,0.7655757,0.051365126,-0.7653801,0.6429836,-0.027658675,-0.054201756,-0.021576565,0.9982966,-0.6641193,-0.29143962,1.7152466,-3.4881065,-1.7404292,22.739408,0.834684,0.6381616,-0.5738182,0.9686582,0.73900926,-0.5738182,1.1068395,0.82973886,-0.5738182,1.2484503,0.90693605,-0.5738182
0.87225896,0.6638459,-0.60322785,0.30047816,0.9534002,0.027212571,-0.94907063,0.30170444,-0.09076883,-0.0947492,0.0014474168,0.9954998,-0.66890246,-0.29059738,1.7652133,-3.1129618,-2.6445081,23.361324,0.87225896,0.6638459,-0.60322785,1.0071478,0.7629627,-0.60322785,1.1460705,0.8512455,-0.60322785,1.2882905,0.92536455,-0.60322785
